id,documentation,thriller,sport,history,scifi,european,romance,horror,war,action,crime,reality,animation,family,drama,fantasy,comedy,western,music
ts12787,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0
tm116324,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
tm39828,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
tm23935,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
tm78067,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
tm95252,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
tm32919,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
tm169949,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
tm30205,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
tm40009,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
tm141390,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ts35155,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
tm94606,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
ts15986,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0
tm102337,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
ts22318,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0
tm159901,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
tm74780,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
ts30356,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
ts32186,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0
tm24088,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
tm111600,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
tm88045,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
