id,imdb_id,imdb_score,imdb_votes,tmdb_score,tmdb_popularity
tm129763,tt0367495,8.6,23434,0.0,4.634
ts21664,tt0284770,7.1,2368,0.0,6.204
tm44378,tt1223975,6.8,4306,6.3,3.891
tm25842,tt0492472,8.7,331,7.2,2.821
tm34846,tt1339302,7.1,2342,6.8,40.732
tm71119,tt0800003,3.6,11245,5.0,10.367
tm170873,tt0492896,7.0,2075,6.1,2.951
tm22540,tt0419058,7.1,24102,6.4,8.428
tm96037,tt1703048,6.8,3791,7.0,97.631
tm110923,tt0274428,6.6,3700,0.0,2.894
tm168869,tt0484275,7.3,961,6.4,1.366
ts37200,tt1074443,6.3,131,0.0,1.841
tm147686,tt1420554,7.5,4514,6.1,6.236
tm93612,tt1785394,7.3,2747,7.4,53.143
tm36164,tt1160524,6.8,4689,5.5,109.752
tm30170,tt0461936,7.1,37787,7.1,8.892
tm29731,tt0464160,6.9,11187,6.0,3.942
tm147494,tt1481363,7.0,3833,5.4,101.203
tm44530,tt0964516,6.9,12645,7.3,7.048
tm89936,tt0404777,6.6,3881,6.6,12.181
ts98353,tt6958564,6.2,26,0.0,0.88
ts44663,tt2080922,7.5,613,0.0,4.963
tm81461,tt0331370,7.1,6405,4.6,5.108
tm155761,tt1252596,6.3,15004,3.3,6.675
tm48083,tt0217085,5.0,77,2.0,0.967
tm84348,,,,6.1,7.867
tm175687,tt0469589,7.6,794,7.0,2.089
tm33067,tt1017456,6.6,14979,6.6,5.732
tm70222,tt0479751,7.5,20151,0.0,7.686
tm105278,tt0366621,7.3,2187,7.6,30.957
tm352243,tt6978288,5.9,631,1.0,1.378
ts98316,tt6951568,7.2,218,0.0,1.139
tm82718,tt0384116,8.0,63238,6.0,7.047
tm98975,tt1438298,7.4,18887,7.4,5.554
ts98252,tt6953650,6.5,97,0.0,3.42
tm101609,tt1291465,7.1,17918,0.0,3.761
tm418157,tt19880958,7.1,9,0.0,2.177
tm39557,tt0473367,7.4,27150,6.4,7.196
tm150521,tt1202514,6.6,3426,6.6,5.165
tm30289,tt0806102,8.0,4013,5.6,5.406
tm141117,tt0346723,6.5,15629,6.2,6.121
tm80339,tt0476680,6.6,7079,4.3,50.604
tm33729,tt0476884,7.2,10108,4.8,2.636
tm93004,tt0382383,7.3,9020,0.0,3.893
ts13411,tt0907286,7.1,66,3.8,0.6
ts1464,tt1260520,8.0,789,6.0,189.665
tm145243,tt1324059,7.6,31885,7.1,5.035
tm34524,tt1206326,7.0,1305,7.1,51.441
tm111226,tt0319020,6.2,8533,5.5,5.941
tm23441,tt0449999,6.0,20294,6.4,9.421
tm166293,tt0457802,7.3,2131,6.3,2.177
tm24576,tt1071815,6.3,4185,7.0,58.559
tm92977,tt1345777,7.3,10556,6.3,3.912
tm77348,tt0800956,7.4,12189,5.7,3.965
ts34414,tt1233451,7.1,226,0.0,13.94
ts29199,tt0795156,7.9,445,0.0,0.6
tm91323,tt1667838,5.6,8171,5.9,6.801
tm88366,tt0347473,7.0,36334,6.9,12.629
tm156575,tt1230448,6.3,12148,6.5,7.028
tm164389,tt0451850,6.3,13437,6.3,6.607
tm37945,tt1230165,7.7,22291,6.0,4.956
tm106625,tt1608777,7.2,5769,6.1,3.126
tm65142,tt1037116,6.8,1758,7.2,38.807
tm99450,tt1578261,5.1,4343,5.8,3.068
tm149209,tt1274295,7.4,17351,6.8,6.585
tm23977,tt0442236,6.3,1141,5.8,2.585
tm160596,tt0448267,6.5,3250,6.0,1.899
tm129971,tt0886539,7.1,10395,6.2,4.932
tm56428,tt1324027,7.8,3696,5.0,4.344
ts18653,tt4570986,4.4,949,7.2,1.504
tm177687,tt0791188,6.4,4511,6.6,41.579
tm77863,tt0808306,6.1,2696,4.0,5.216
tm80455,tt0920464,7.6,8254,6.5,4.553
tm184732,tt1433810,7.0,13328,6.4,7.689
tm89764,tt0473658,7.2,1873,5.3,34.264
ts4866,tt1483930,7.4,491,0.0,4.692
tm134407,tt1327035,7.9,30932,6.9,7.069
tm103133,tt1373156,7.1,12374,6.2,7.725
tm54147,tt1185420,6.5,15300,5.0,8.613
ts137477,tt5170230,7.3,48,0.0,
tm101684,tt1587263,5.3,5161,4.7,4.254
tm152724,tt1185442,5.7,5287,4.7,4.865
ts204466,tt0355119,8.5,200,0.0,1.791
tm96168,tt1395054,7.4,17879,6.6,4.465
tm146887,tt1043451,6.1,7910,5.8,2.951
tm138902,tt0396659,7.6,2253,7.8,43.092
tm165809,tt0476527,6.6,6472,5.5,4.763
tm31335,tt1092005,5.1,8186,5.0,6.084
tm43179,tt1292703,7.7,17684,5.9,4.31
tm170169,tt0415908,4.7,5478,4.3,5.129
tm84316,tt0811066,7.1,10350,6.4,5.534
tm112235,tt0312859,8.4,8676,4.0,3.739
tm368679,tt0417528,8.4,390,5.7,1.948
ts74928,tt6953928,7.6,656,7.3,1.649
tm148041,tt1242530,4.8,2765,4.9,1.912
tm176297,tt0456500,6.1,3608,5.0,4.797
tm68191,tt0780568,5.5,4476,7.4,6.795
tm352863,tt6999072,3.2,644,0.0,0.989
tm25029,tt0885520,7.0,2824,5.5,5.577
ts40702,tt1682704,5.2,8,8.0,1.529
tm237621,tt1542960,4.4,262,4.2,1.525
tm22989,tt0815456,7.8,4014,7.1,4.112
tm35652,tt1266583,7.7,6431,6.3,2.955
tm80487,,,,0.0,1.552
tm44634,tt0305727,7.4,1101,5.9,1.596
tm22558,tt0863091,7.3,399,6.8,2.223
tm52352,tt1178658,6.7,269,0.0,1.859
